"code","cbs_code","name","authority_name","authority_name_moin","moin_code_col_a","moin_code_col_c","district","type","municipal_status","population","population_2024","socio_cluster_2021","cbs_socio_cluster","socio_rank_2021","socio_value_2021","periphery_cluster_2020","cbs_periphery_cluster","periphery_rank_2020","periphery_value_2020","education_expense_1486_tk","education_revenue_1384_tk","education_net_difference_tk","municipal_education_self_funding_rate","regular_budget_expense_40811_tk","regular_budget_revenue_40814_tk","own_revenue_1805_tk","own_revenue_share_pct","own_revenues_per_capita_nis","arnona_residential_4138_tk","arnona_residential_per_capita_nis","arnona_other_4146_tk","arnona_other_per_capita_nis","arnona_total_4162_tk","arnona_total_per_capita_nis","balancing_grant_1819_tk","balancing_grant_per_capita_nis","is_tamar_outlier","is_war_evacuated_2024","anomaly_classification","arnona_identity_valid","provenance"
"1139","1139","כרמיאל","כרמיאל","כרמיאל","2840","51139","הצפון","עירייה","עירייה","47941","47941","5","5","137","0.0196535921530683","4","4","88","-0.282112620531098","117958","66771","51187","43.39","463181","448188","289744","64.65","6043.76","78391","1635.16","138273","2884.23","216664","4519.39","4216","87.94","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"7000","7000","לוד","לוד","לוד","2793","37000","המרכז","עירייה","עירייה","94189","94189","3","3","61","-0.738284963348778","8","8","228","1.74032364672705","281565","210759","70806","25.15","750064","752646","394940","52.47","4193.06","85479","907.53","166481","1767.52","251960","2675.05","38037","403.84","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"481","481","מגאר","מגאר","מגאר","2941","90481","הצפון","עירייה","עירייה","23486","23486","3","3","53","-0.792888220115192","3","3","58","-0.535551025362093","99864","89985","9879","9.89","218168","217980","54063","24.8","2301.92","17502","745.21","9582","407.99","27084","1153.2","40074","1706.29","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"874","874","מגדל העמק","מגדל העמק","מגדל העמק","2833","50874","הצפון","עירייה","עירייה","28430","28430","4","4","96","-0.397523007116569","4","4","124","0.00445543496013614","94081","60620","33461","35.57","267760","265788","146175","55","5141.58","32147","1130.74","68482","2408.79","100629","3539.54","17571","618.04","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"1200","1200","מודיעין-מכבים-רעות","מודיעין-מכבים-רעות","מודיעין-מכבים-רעות","2913","81200","המרכז","עירייה","עירייה","100052","100052","8","8","237","1.42016822765406","6","6","210","1.12832343480572","456325","352829","103496","22.68","932398","935551","539707","57.69","5394.26","224994","2248.77","179763","1796.7","404757","4045.47","0","0","False","False","TRUE_ZERO_BALANCING","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"3797","3797","מודיעין עילית","מודיעין עילית","מודיעין עילית","2933","83797","אזור יהודה והשומרון","עירייה","עירייה","89627","89627","1","1","7","-2.23495841269336","6","6","195","0.87060101889778","180936","154486","26450","14.62","483991","484001","151780","31.36","1693.46","25298","282.26","10313","115.07","35611","397.32","57179","637.97","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"3616","3616","מעלה אדומים","מעלה אדומים","מעלה אדומים","2926","83616","אזור יהודה והשומרון","עירייה","עירייה","35846","35846","6","6","156","0.241054455327592","5","5","162","0.291270191068065","133558","76407","57151","42.79","400912","393457","245892","62.5","6859.68","58498","1631.93","79939","2230.07","138437","3861.99","14600","407.3","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"1063","1063","מעלות-תרשיחא","מעלות-תרשיחא","מעלות-תרשיחא","2839","51063","הצפון","עירייה","עירייה","23042","23042","5","5","121","-0.0573799263534073","3","3","46","-0.617962187359689","51985","36266","15719","30.24","192559","199167","88681","44.53","3848.67","31496","1366.9","29286","1270.98","60782","2637.88","32643","1416.67","False","True","WAR_EVACUATION_CONTEXT","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"9100","9100","נהרייה","נהרייה","נהריה","2779","29100","הצפון","עירייה","עירייה","67877","67877","6","6","143","0.142933750605715","4","4","86","-0.299140837750482","164409","117814","46595","28.34","645420","646222","384530","59.5","5665.1","135685","1998.98","80530","1186.41","216215","3185.39","42341","623.79","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"1061","1061","נוף הגליל","נוף הגליל","נוף הגליל","2782","31061","הצפון","עירייה","עירייה","45805","45805","5","5","102","-0.298270772497077","5","5","137","0.139460226742925","89705","51635","38070","42.44","409489","406008","263790","64.97","5758.98","54274","1184.89","99302","2167.93","153576","3352.82","23063","503.5","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
